5 222 2000000 8 8 8 8 8
54978	112556	311018	634288	1397536	2778562	6777406	15418258	55346	111932	307847	626578	1407457	2785631	6704980	15219195	54637	113184	312536	634825	1379485	2791239	6873366	15707992	54415	111652	308342	632154	1425353	2745105	6783395	15663663	54747	114810	310925	639250	1407475	2811422	6770561	15259492
104786	204056	489240	986196	1917062	3438364	7169380	14383494	104090	203666	492553	1002354	1916579	3432040	7120272	14470517	105817	203070	486468	990067	1941026	3420536	7178192	14315582	105344	204591	491232	994204	1924565	3421356	7165563	14440442	105279	205948	490280	981030	1912261	3454351	7153283	14319834
88554	170788	412512	796780	1563234	2744388	5829902	11579136	89278	170786	414441	809158	1552147	2741293	5786076	11620755	88663	172063	410829	785328	1560099	2741654	5836247	11514840	88056	170638	414215	797825	1552184	2719304	5840250	11665607	88293	171023	410458	779378	1570343	2797550	5817571	11862397
74040	142026	367926	776022	1655234	3098524	7445994	16460822	74610	140275	367707	767049	1680858	3091853	7446699	16203095	74628	142167	367418	781896	1644964	3079956	7435094	16276093	74378	140870	367481	780603	1635692	3085938	7486355	16462356	74369	142030	369924	777867	1667402	3072934	7540955	16248436
58278	114824	309250	649422	1370872	2781476	6680016	14244350	58595	113744	308907	652324	1362801	2792306	6768337	13945756	58534	116701	304933	647064	1363623	2777941	6648410	14329697	59418	113855	309699	651788	1373645	2787122	6760405	14254325	58874	116389	311924	645036	1373598	2803992	6743960	14286882
51942	104946	287796	632654	1401124	2725820	6923654	15099710	52512	105792	289223	636699	1425147	2722383	7027866	15118630	52494	105157	296814	637583	1387259	2732222	6913535	15099267	52019	105887	288785	643400	1424446	2718491	6898338	15057719	51171	104860	294878	628221	1400638	2729943	6935048	15261639
54466	108484	288064	610536	1329350	2531100	5779600	12200530	54034	109259	293662	615380	1323323	2485328	5794248	12295389	55056	108883	295754	606006	1302283	2540141	5692511	12267439	53402	107728	290502	601746	1318778	2519670	5697442	12331482	54045	110546	282144	609178	1317338	2509833	5830890	12195575
57920	110226	280296	594824	1168552	2133572	5054764	10798346	57843	109671	283058	595729	1184019	2128815	4900567	10882825	57784	109884	282681	583787	1179420	2120746	5090441	10739892	58303	111171	282148	588492	1168781	2139008	5092868	10796344	58218	111526	278427	592612	1144627	2156409	4956512	10910607
50548	99396	259990	540494	1147554	2153536	5091644	11094208	49956	101666	258378	534518	1161805	2210753	5115367	10905286	51075	101247	262070	548109	1145508	2148165	5074076	10918977	50789	99429	265662	543128	1149890	2143361	5188498	11205682	50966	100363	260478	546668	1165292	2172548	5251259	10957132
50132	101116	260812	543780	1163788	2287890	5717128	13084368	49963	99479	263277	542604	1149862	2289089	5636231	13036199	51499	98478	257503	554361	1152621	2301104	5786953	12950979	49454	100044	260734	561686	1155503	2305974	5712062	13129747	49903	100451	258018	545228	1168921	2261314	5814297	13370881
